temps_s,theta1_mesure_deg,theta1_simule_deg,theta2_mesure_deg,theta2_simule_deg,erreur_theta1_deg,erreur_theta2_deg
1.21,794.3914022468165,805.8933309141192,881.7089924402422,902.1739114264952,11.501928667302751,20.464918986252965
1.22,801.5719095254155,813.7365126646224,894.4838355136072,917.8130841554876,12.164603139206786,23.329248641880312
1.23,808.8756605162301,821.2006307706009,906.0211287439981,932.2679739645198,12.324970254370692,26.246845220521713
1.24,815.841537340949,828.2588919916292,916.8203275510434,945.8213703373885,12.417354650680128,29.0010427863451
1.25,822.5132887522738,834.900340907046,927.211167608397,958.7313301154737,12.387052154772244,31.52016250707675
1.26,828.8659858790049,841.1272515790631,936.9515659923984,971.2262392527454,12.261265700058141,34.27467326034686
1.27,834.8961378360798,846.9551275527634,946.9264265593386,983.5048128157608,12.058989716683607,36.57838625642226
1.28,840.2654418728015,852.4103813394976,955.9253671616689,995.7258642669768,12.144939466696142,39.80049710530788
1.29,845.6127683051735,857.5209186594813,965.3805435603026,1007.9985912804062,11.908150354307772,42.61804772010357
1.3,850.4307666507178,862.3113019711789,975.1474862132804,1020.3922784301805,11.880535320460963,45.24479221690004
1.31,854.7295684532613,866.8017149867505,984.6535265532901,1032.9307195809693,12.072146533489143,48.27719302767919
1.32,859.0220867193556,871.0079616660598,994.9569228030572,1045.5922103538912,11.985874946704302,50.63528755083403
1.33,862.9609990469845,874.9399498820707,1005.646116238032,1058.3107787768154,11.978950835086172,52.66466253878336
1.34,866.7138677583275,878.5970148951941,1016.8987439862713,1070.9789470604753,11.88314713686657,54.08020307420413
1.35,870.4247269232316,881.9789148113225,1028.666584547008,1083.475156253879,11.554187888090901,54.80857170687097
1.36,873.7599224594231,885.0894929859352,1040.677861171961,1095.6812876020704,11.329570526512011,55.00342643010941
1.37,876.953482978453,887.9366607409962,1052.7238759255802,1107.4829081344071,10.983177762543171,54.75903220882707
1.38,880.1280335382937,890.5323973649544,1065.4062178135991,1118.7692706645612,10.404363826660603,53.363052850962035
1.39,883.0046909728335,892.893672287154,1077.5690933715655,1129.4383465801518,9.88898131432049,51.86925320858633
1.4,885.7863005619864,895.0504437608188,1089.769967369742,1139.438546637916,9.264143198832356,49.66857926817391
1.41,888.0595227399931,897.0371778756917,1100.8344934296804,1148.734684523558,8.97765513569861,47.900191093877496
1.42,890.2637655969932,898.8887922450431,1111.4891333943376,1157.3003237922883,8.625026648049923,45.81119039795072
1.43,892.3689124698835,900.641023980221,1121.6810976335482,1165.120529375746,8.272111510337526,43.43943174219771
1.44,893.7188155781676,902.3304296906505,1131.327922282238,1172.1918675819998,8.611614112482982,40.86394529976163
1.45,895.033290431759,903.9937267159856,1139.4145539943072,1178.5211278149268,8.960436284226626,39.10657382061947
1.46,896.2135208266295,905.6631317579023,1147.192462742056,1184.1148932016474,9.44961093127283,36.922430459591304
1.47,897.0903276282156,907.3680116518677,1153.5374346089918,1188.9798010892719,10.277684023652105,35.44236648028012
1.48,898.0365084633655,909.1368358333892,1160.0502248531352,1193.1258031637303,11.100327370023713,33.07557831059531
1.49,898.8394578880042,910.9971860380485,1164.871948400602,1196.5661846955675,12.157728150044353,31.694236294965627
1.5,899.3507448476893,912.9757563015019,1169.2002488001704,1199.3175645399424,13.625011453812595,30.117315739772238
1.51,900.0772075353079,915.0983529594799,1172.2142162394364,1201.3998951366286,15.021145424172008,29.185678897192265
1.52,900.4397398745972,917.3898946477884,1174.946985439491,1202.836462510014,16.95015477319128,27.889477070523014
1.53,900.8749642225636,919.8744162750643,1176.6362026139775,1203.653882927473,18.999452052500637,27.017680313495656
1.54,901.5314722114414,922.5762169972302,1177.5678977092705,1203.8806869399718,21.0447447857888,26.312789230701306
1.55,902.0400947551651,925.5201907533832,1177.9328046935257,1203.5506651564956,23.48009599821801,25.617860462970008
1.56,902.6143513033306,928.73220806776,1176.8520986544522,1202.711371133961,26.117856764429344,25.859272479508864
1.57,903.3505573804747,932.2398537356471,1175.4620664556662,1201.4248021310138,28.889296355172338,25.962735675347748
1.58,903.9307946043865,936.0724268233805,1172.5241179130644,1199.7673991080308,32.14163221899394,27.24328119496633
1.59,904.654943478832,940.2609406683458,1169.3986529351248,1197.8300467271185,35.60599718951373,28.431393791993738
1.6,905.6082456722443,944.8381228789787,1165.062122134629,1195.7180733521136,39.22987720673437,30.655951217484724
1.61,906.322443689482,949.8387073650154,1159.9035419844608,1193.5546351874564,43.516263675533274,33.65109320299563
1.62,907.275408490445,955.3063381156734,1154.035542721681,1191.494042445955,48.030929625228346,37.458499724273985
1.63,907.9935226948369,961.2857151064188,1146.830625927515,1189.6868915831383,53.2921924115819,42.856265655623304
1.64,908.8630454847198,967.8179500509134,1139.6217535398462,1188.26735550651,58.95490456619359,48.64560196666386
1.65,909.4456563176959,974.9405663986993,1131.7417037998657,1187.3531835715605,65.49491008100335,55.6114797716946
